GENESIS-Tabelle: 12411-0015
Bevölkerung: Kreise, Stichtag;;
Fortschreibung des Bevölkerungsstandes;;
Bevölkerungsstand (Anzahl);;
;;Stichtag
;;31.12.2020
07111;Koblenz, kreisfreie Stadt;113388
07131;Ahrweiler, Landkreis;130479
07132;Altenkirchen (Westerwald), Landkreis;129087
07133;Bad Kreuznach, Landkreis;158746
07134;Birkenfeld, Landkreis;80830
07135;Cochem-Zell, Landkreis;61578
07137;Mayen-Koblenz, Landkreis;214786
07138;Neuwied, Landkreis;183131
07140;Rhein-Hunsrück-Kreis;103401
07141;Rhein-Lahn-Kreis;122574
07143;Westerwaldkreis;202830
07211;Trier, kreisfreie Stadt;110674
07231;Bernkastel-Wittlich, Landkreis;112685
07232;Eifelkreis Bitburg-Prüm;100055
07233;Vulkaneifel, Landkreis;60491
07235;Trier-Saarburg, Landkreis;150533
07311;Frankenthal (Pfalz), kreisfreie Stadt;48750
07312;Kaiserslautern, kreisfreie Stadt;99662
07313;Landau in der Pfalz, kreisfreie Stadt;46685
07314;Ludwigshafen am Rhein, kreisfreie Stadt;172557
07315;Mainz, kreisfreie Stadt;217123
07316;Neustadt an der Weinstraße, kreisfreie Stadt;53306
07317;Pirmasens, kreisfreie Stadt;40176
07318;Speyer, kreisfreie Stadt;50741
07319;Worms, kreisfreie Stadt;83459
07320;Zweibrücken, kreisfreie Stadt;34001
07331;Alzey-Worms, Landkreis;130715
07332;Bad Dürkheim, Landkreis;133004
07333;Donnersbergkreis;75539
07334;Germersheim, Landkreis;129006
07335;Kaiserslautern, Landkreis;106320
07336;Kusel, Landkreis;70105
07337;Südliche Weinstraße, Landkreis;110783
07338;Rhein-Pfalz-Kreis;154754
07339;Mainz-Bingen, Landkreis;211525
07340;Südwestpfalz, Landkreis;94912
08111;Stuttgart, kreisfreie Stadt;630305
08115;Böblingen, Landkreis;392898
08116;Esslingen, Landkreis;533617
08117;Göppingen, Landkreis;258781
08118;Ludwigsburg, Landkreis;544971
08119;Rems-Murr-Kreis;427286
08121;Heilbronn, kreisfreie Stadt;126458
08125;Heilbronn, Landkreis;346363
08126;Hohenlohekreis;112765
08127;Schwäbisch Hall, Landkreis;197860
08128;Main-Tauber-Kreis;132684
08135;Heidenheim, Landkreis;132812
08136;Ostalbkreis;314294
08211;Baden-Baden, kreisfreie Stadt;55449
08212;Karlsruhe, kreisfreie Stadt;308436
08215;Karlsruhe, Landkreis;446852
08216;Rastatt, Landkreis;232091
08221;Heidelberg, kreisfreie Stadt;158741
08222;Mannheim, kreisfreie Stadt;309721
08225;Neckar-Odenwald-Kreis;143797
08226;Rhein-Neckar-Kreis;548233
08231;Pforzheim, kreisfreie Stadt;126016
08235;Calw, Landkreis;160149
08236;Enzkreis;199752
08237;Freudenstadt, Landkreis;118364
08311;Freiburg im Breisgau, kreisfreie Stadt;230940
08315;Breisgau-Hochschwarzwald, Landkreis;264867
08316;Emmendingen, Landkreis;166862
08317;Ortenaukreis;432580
08325;Rottweil, Landkreis;140166
08326;Schwarzwald-Baar-Kreis;212872
08327;Tuttlingen, Landkreis;141682
08335;Konstanz, Landkreis;286876
08336;Lörrach, Landkreis;228842
08337;Waldshut, Landkreis;171237
08415;Reutlingen, Landkreis;287497
08416;Tübingen, Landkreis;228471
08417;Zollernalbkreis;189862
08421;Ulm, kreisfreie Stadt;126405
08425;Alb-Donau-Kreis;198204
08426;Biberach, Landkreis;202250
08435;Bodenseekreis;217901
08436;Ravensburg, Landkreis;285888
08437;Sigmaringen, Landkreis;130946
09161;Ingolstadt, kreisfreie Stadt;136952
09162;München, kreisfreie Stadt;1488202
09163;Rosenheim, kreisfreie Stadt;63591
09171;Altötting, Landkreis;111654
09172;Berchtesgadener Land, Landkreis;106327
09173;Bad Tölz-Wolfratshausen, Landkreis;128212
09174;Dachau, Landkreis;155117
09175;Ebersberg, Landkreis;144091
09176;Eichstätt, Landkreis;133169
09177;Erding, Landkreis;138891
09178;Freising, Landkreis;180313
09179;Fürstenfeldbruck, Landkreis;218740
09180;Garmisch-Partenkirchen, Landkreis;88279
09181;Landsberg am Lech, Landkreis;121019
09182;Miesbach, Landkreis;100183
09183;Mühldorf am Inn, Landkreis;116483
09184;München, Landkreis;349685
09185;Neuburg-Schrobenhausen, Landkreis;97730
09186;Pfaffenhofen an der Ilm, Landkreis;129128
09187;Rosenheim, Landkreis;261721
09188;Starnberg, Landkreis;136610
09189;Traunstein, Landkreis;177485
09190;Weilheim-Schongau, Landkreis;136134
09261;Landshut, kreisfreie Stadt;73065
09262;Passau, kreisfreie Stadt;52415
09263;Straubing, kreisfreie Stadt;47612
09271;Deggendorf, Landkreis;119479
09272;Freyung-Grafenau, Landkreis;78355
09273;Kelheim, Landkreis;123390
09274;Landshut, Landkreis;161191
09275;Passau, Landkreis;193454
09276;Regen, Landkreis;77313
09277;Rottal-Inn, Landkreis;121800
09278;Straubing-Bogen, Landkreis;101745
09279;Dingolfing-Landau, Landkreis;97244
09361;Amberg, kreisfreie Stadt;42052
09362;Regensburg, kreisfreie Stadt;152270
09363;Weiden in der Oberpfalz, kreisfreie Stadt;42535
09371;Amberg-Sulzbach, Landkreis;102998
09372;Cham, Landkreis;128094
09373;Neumarkt in der Oberpfalz, Landkreis;135225
09374;Neustadt an der Waldnaab, Landkreis;94645
09375;Regensburg, Landkreis;194275
09376;Schwandorf, Landkreis;148477
09377;Tirschenreuth, Landkreis;71696
09461;Bamberg, kreisfreie Stadt;76674
09462;Bayreuth, kreisfreie Stadt;74048
09463;Coburg, kreisfreie Stadt;40842
09464;Hof, kreisfreie Stadt;45173
09471;Bamberg, Landkreis;147497
09472;Bayreuth, Landkreis;103679
09473;Coburg, Landkreis;86571
09474;Forchheim, Landkreis;116600
09475;Hof, Landkreis;94522
09476;Kronach, Landkreis;66355
09477;Kulmbach, Landkreis;71428
09478;Lichtenfels, Landkreis;66722
09479;Wunsiedel im Fichtelgebirge, Landkreis;71974
09561;Ansbach, kreisfreie Stadt;41681
09562;Erlangen, kreisfreie Stadt;112385
09563;Fürth, kreisfreie Stadt;128223
09564;Nürnberg, kreisfreie Stadt;515543
09565;Schwabach, kreisfreie Stadt;41056
09571;Ansbach, Landkreis;185316
09572;Erlangen-Höchstadt, Landkreis;138105
09573;Fürth, Landkreis;118695
09574;Nürnberger Land, Landkreis;171143
09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;101272
09576;Roth, Landkreis;127168
09577;Weißenburg-Gunzenhausen, Landkreis;95117
09661;Aschaffenburg, kreisfreie Stadt;70858
09662;Schweinfurt, kreisfreie Stadt;53319
09663;Würzburg, kreisfreie Stadt;126954
09671;Aschaffenburg, Landkreis;174658
09672;Bad Kissingen, Landkreis;103169
09673;Rhön-Grabfeld, Landkreis;79510
09674;Haßberge, Landkreis;84275
09675;Kitzingen, Landkreis;91696
09676;Miltenberg, Landkreis;128743
09677;Main-Spessart, Landkreis;125976
09678;Schweinfurt, Landkreis;115652
09679;Würzburg, Landkreis;162697
09761;Augsburg, kreisfreie Stadt;295830
09762;Kaufbeuren, kreisfreie Stadt;44662
09763;Kempten (Allgäu), kreisfreie Stadt;68940
09764;Memmingen, kreisfreie Stadt;44360
09771;Aichach-Friedberg, Landkreis;135024
09772;Augsburg, Landkreis;255900
09773;Dillingen an der Donau, Landkreis;97172
09774;Günzburg, Landkreis;127342
09775;Neu-Ulm, Landkreis;175823
09776;Lindau (Bodensee), Landkreis;82085
09777;Ostallgäu, Landkreis;141907
09778;Unterallgäu, Landkreis;146164
09779;Donau-Ries, Landkreis;134324
09780;Oberallgäu, Landkreis;156308
10041;Regionalverband Saarbrücken, Landkreis;327502
10042;Merzig-Wadern, Landkreis;103471
10043;Neunkirchen, Landkreis;131172
10044;Saarlouis, Landkreis;193732
10045;Saarpfalz-Kreis;141656
10046;Sankt Wendel, Landkreis;86458
11000;Berlin, kreisfreie Stadt;3664088
12051;Brandenburg an der Havel, kreisfreie Stadt;72040
12052;Cottbus, kreisfreie Stadt;98693
12053;Frankfurt (Oder), kreisfreie Stadt;57015
12054;Potsdam, kreisfreie Stadt;182112
12060;Barnim, Landkreis;187343
12061;Dahme-Spreewald, Landkreis;173316
12062;Elbe-Elster, Landkreis;101085
12063;Havelland, Landkreis;164693
12064;Märkisch-Oderland, Landkreis;197195
12065;Oberhavel, Landkreis;214234
12066;Oberspreewald-Lausitz, Landkreis;108396
12067;Oder-Spree, Landkreis;179276
12068;Ostprignitz-Ruppin, Landkreis;98808
12069;Potsdam-Mittelmark, Landkreis;217954
12070;Prignitz, Landkreis;76096
12071;Spree-Neiße, Landkreis;113011
12072;Teltow-Fläming, Landkreis;171554
12073;Uckermark, Landkreis;118250
13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);-
13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);-
13003;Rostock, kreisfreie Stadt;209061
13004;Schwerin, kreisfreie Stadt;95609
13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);-
13006;Wismar, kreisfreie Stadt (bis 03.09.2011);-
13051;Bad Doberan, Landkreis (bis 03.09.2011);-
13052;Demmin, Landkreis (bis 03.09.2011);-
13053;Güstrow, Landkreis (bis 03.09.2011);-
13054;Ludwigslust, Landkreis (bis 03.09.2011);-
13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);-
13056;Müritz, Landkreis (bis 03.09.2011);-
13057;Nordvorpommern, Landkreis (bis 03.09.2011);-
13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);-
13059;Ostvorpommern, Landkreis (bis 03.09.2011);-
13060;Parchim, Landkreis (bis 03.09.2011);-
13061;Rügen, Landkreis (bis 03.09.2011);-
13062;Uecker-Randow, Landkreis (bis 03.09.2011);-
13071;Mecklenburgische Seenplatte, Landkreis;258057
13072;Rostock, Landkreis;217072
13073;Vorpommern-Rügen, Landkreis;225383
13074;Nordwestmecklenburg, Landkreis;157975
13075;Vorpommern-Greifswald, Landkreis;235773
13076;Ludwigslust-Parchim, Landkreis;211844
14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-
14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-
14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-
14171;Annaberg, Landkreis (bis 31.07.2008);-
14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-
14177;Freiberg, Landkreis (bis 31.07.2008);-
14178;Vogtlandkreis (bis 31.07.2008);-
14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-
14182;Mittweida, Landkreis (bis 31.07.2008);-
14188;Stollberg, Landkreis (bis 31.07.2008);-
14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-
14193;Zwickauer Land, Landkreis (bis 31.07.2008);-
14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-
14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-
14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-
14272;Bautzen, Landkreis (bis 31.07.2008);-
14280;Meißen, Landkreis (bis 31.07.2008);-
14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-
14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-
14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-
14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-
14290;Weißeritzkreis (bis 31.07.2008);-
14292;Kamenz, Landkreis (bis 31.07.2008);-
14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
14374;Delitzsch, Landkreis (bis 31.07.2008);-
14375;Döbeln, Landkreis (bis 31.07.2008);-
14379;Leipziger Land, Landkreis (bis 31.07.2008);-
14383;Muldentalkreis (bis 31.07.2008);-
14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-
14511;Chemnitz, kreisfreie Stadt;244401
14521;Erzgebirgskreis;331917
14522;Mittelsachsen, Landkreis;301474
14523;Vogtlandkreis;223905
14524;Zwickau, Landkreis;312033
14612;Dresden, kreisfreie Stadt;556227
14625;Bautzen, Landkreis;298010
14626;Görlitz, Landkreis;250558
14627;Meißen, Landkreis;240371
14628;Sächsische Schweiz-Osterzgebirge, Landkreis;244722
14713;Leipzig, kreisfreie Stadt;597493
14729;Leipzig, Landkreis;258386
14730;Nordsachsen, Landkreis;197444
15001;Dessau-Roßlau, kreisfreie Stadt;79354
15002;Halle (Saale), kreisfreie Stadt;237865
15003;Magdeburg, kreisfreie Stadt;235775
15081;Altmarkkreis Salzwedel;82687
15082;Anhalt-Bitterfeld, Landkreis;157217
15083;Börde, Landkreis;170567
15084;Burgenlandkreis;177590
15085;Harz, Landkreis;210975
15086;Jerichower Land, Landkreis;89403
15087;Mansfeld-Südharz, Landkreis;133690
15088;Saalekreis;183434
15089;Salzlandkreis;187457
15090;Stendal, Landkreis;110485
15091;Wittenberg, Landkreis;124185
15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-
15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-
15153;Bernburg, Landkreis (bis 30.06.2007);-
15154;Bitterfeld, Landkreis (bis 30.06.2007);-
15159;Köthen, Landkreis (bis 30.06.2007);-
15171;Wittenberg, Landkreis (bis 30.06.2007);-
15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-
15256;Burgenlandkreis (bis 30.06.2007);-
15260;Mansfelder Land, Landkreis (bis 30.06.2007);-
15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-
15265;Saalkreis (bis 30.06.2007);-
15266;Sangerhausen, Landkreis (bis 30.06.2007);-
15268;Weißenfels, Landkreis (bis 30.06.2007);-
15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-
15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-
15355;Bördekreis (bis 30.06.2007);-
15357;Halberstadt, Landkreis (bis 30.06.2007);-
15358;Jerichower Land, Landkreis (bis 30.06.2007);-
15362;Ohrekreis (bis 30.06.2007);-
15363;Stendal, Landkreis (bis 30.06.2007);-
15364;Quedlinburg, Landkreis (bis 30.06.2007);-
15367;Schönebeck, Landkreis (bis 30.06.2007);-
15369;Wernigerode, Landkreis (bis 30.06.2007);-
15370;Altmarkkreis Salzwedel (bis 30.06.2007);-
16051;Erfurt, kreisfreie Stadt;213692
16052;Gera, kreisfreie Stadt;92126
16053;Jena, kreisfreie Stadt;110731
16054;Suhl, kreisfreie Stadt;36395
16055;Weimar, kreisfreie Stadt;65098
16056;Eisenach, kreisfreie Stadt (bis 30.06.2021);41970
16061;Eichsfeld, Landkreis;99463
16062;Nordhausen, Landkreis;82456
16063;Wartburgkreis;117967
16064;Unstrut-Hainich-Kreis;101698
16065;Kyffhäuserkreis;73522
16066;Schmalkalden-Meiningen, Landkreis;124241
16067;Gotha, Landkreis;134563
16068;Sömmerda, Landkreis;69107
16069;Hildburghausen, Landkreis;62656
16070;Ilm-Kreis;105606
16071;Weimarer Land, Landkreis;82291
16072;Sonneberg, Landkreis;57044
16073;Saalfeld-Rudolstadt, Landkreis;102139
16074;Saale-Holzland-Kreis;82816
16075;Saale-Orla-Kreis;79632
16076;Greiz, Landkreis;96668
16077;Altenburger Land, Landkreis;88356
__________
Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.
© Statistisches Bundesamt (Destatis), 2022
Stand: 17.03.2022 / 18:13:48
